City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
2,Flinders,AU,54.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
4,Shingu,JP,74.43,overcast clouds,33.7333,135.9833,Shingu UI Hotel
5,Busselton,AU,53.35,light rain,-33.65,115.3333,Observatory Guest House
7,Bredasdorp,ZA,56.95,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
8,East London,ZA,71.73,clear sky,-33.0153,27.9116,Tu Casa
10,Mataura,NZ,51.48,broken clouds,-46.1927,168.8643,Ellie's Villa
12,Atuona,PF,77.74,few clouds,-9.8,-139.0333,Villa Enata
14,Ketchikan,US,57.67,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
15,Severo-Kurilsk,RU,53.55,overcast clouds,50.6789,156.125,Kak Doma
16,Mombetsu,JP,63.18,overcast clouds,44.3525,143.3525,Okhotsk Palace Hotel
18,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,39 On Nile Guest House
19,Bluff,NZ,51.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Alyangula,AU,67.95,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
24,Xinzhou,CN,69.6,overcast clouds,38.4092,112.7333,Shell Hotel - Xinzhou
25,San Quintin,MX,73.02,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
26,Mar Del Plata,AR,57.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
27,Hithadhoo,MV,77.5,overcast clouds,-0.6,73.0833,Scoop Guest House
28,Labuhan,ID,78.13,light rain,-6.8844,112.2051,DoubleFAG
30,At-Bashi,KG,61.83,clear sky,41.1702,75.8106,Hostel At-Bashy
31,Onega,RU,61.41,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
32,Tuktoyaktuk,CA,55.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
36,Rikitea,PF,73.96,overcast clouds,-23.1203,-134.9692,People ThankYou
38,Chuy,UY,51.76,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
40,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
42,Souillac,MU,70.21,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
43,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Port Shepstone,ZA,67.3,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
47,Castro,BR,69.71,light rain,-24.7911,-50.0119,CHACARA BAILLY
48,Asau,RO,69.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
49,Sungurlu,TR,73.08,scattered clouds,40.1675,34.3739,Sungurlu Ogretmenevi
50,Narsaq,GL,59.22,clear sky,60.9167,-46.05,Sleep In Narsaq
51,Lebu,CL,50.13,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
53,Riviere-Au-Renard,CA,66.49,scattered clouds,48.9957,-64.3971,Auberge Le Caribou
56,Ruteng,ID,59.83,broken clouds,-8.6136,120.4721,Hotel FX 72
57,Hasaki,JP,77.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
59,Yerofey Pavlovich,RU,62.28,scattered clouds,53.9667,121.9667,lounges and warm parking
62,Poronaysk,RU,54.14,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
64,Camana,PE,63.7,scattered clouds,-16.6228,-72.7111,Hostal Morales
65,Keuruu,FI,55.8,light rain,62.2667,24.7,Hostelli Nonna
66,Churapcha,RU,69.17,scattered clouds,62.0025,132.4325,"""Tusku"""
69,Morondava,MG,74.86,few clouds,-20.2833,44.2833,La Case Bambou
70,Karratha,AU,66.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
71,Sao Filipe,CV,76.24,scattered clouds,14.8961,-24.4956,Hotel Xaguate
72,Port Alfred,ZA,67.17,clear sky,-33.5906,26.891,The Halyards Hotel
73,Tasiilaq,GL,50.16,overcast clouds,65.6145,-37.6368,The Red House
74,Novaya Igirma,RU,51.98,clear sky,57.1334,103.9112,Tayga
