,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,45.48,79,64,8.57,broken clouds
1,Vaini,TO,-21.2,-175.2,73.56,83,20,6.91,few clouds
2,Flinders,AU,-34.5833,150.8552,54.18,66,52,7.0,broken clouds
3,Airai,TL,-8.9266,125.4092,53.38,85,35,2.55,scattered clouds
4,Shingu,JP,33.7333,135.9833,74.43,87,100,4.9,overcast clouds
5,Busselton,AU,-33.65,115.3333,53.35,93,100,13.11,light rain
6,Ushuaia,AR,-54.8,-68.3,42.46,52,40,5.75,scattered clouds
7,Bredasdorp,ZA,-34.5322,20.0403,56.95,82,0,6.71,clear sky
8,East London,ZA,-33.0153,27.9116,71.73,40,10,8.59,clear sky
9,Victoria,HK,22.2855,114.1577,87.33,82,100,10.0,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,51.48,83,83,6.58,broken clouds
11,Chokurdakh,RU,70.6333,147.9167,39.63,60,14,9.1,few clouds
12,Atuona,PF,-9.8,-139.0333,77.74,78,23,21.3,few clouds
13,Madison,US,34.7334,-86.5667,92.44,57,40,7.0,scattered clouds
14,Ketchikan,US,55.3422,-131.6461,57.67,88,100,11.5,overcast clouds
15,Severo-Kurilsk,RU,50.6789,156.125,53.55,96,100,1.54,overcast clouds
16,Mombetsu,JP,44.3525,143.3525,63.18,96,92,5.5,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,37.51,70,0,11.5,clear sky
18,Port Elizabeth,ZA,-33.918,25.5701,77.09,43,1,1.99,clear sky
19,Bluff,NZ,-46.6,168.3333,51.8,68,84,20.09,broken clouds
20,Dosso,NE,13.049,3.1937,86.81,52,94,3.36,overcast clouds
21,Alice Springs,AU,-23.7,133.8833,38.75,35,0,0.0,clear sky
22,Alyangula,AU,-13.8483,136.4192,67.95,91,37,10.4,scattered clouds
23,Hilo,US,19.7297,-155.09,86.29,90,100,4.61,overcast clouds
24,Xinzhou,CN,38.4092,112.7333,69.6,41,100,1.28,overcast clouds
25,San Quintin,MX,30.4833,-115.95,73.02,70,17,7.61,few clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,57.94,41,0,19.57,clear sky
27,Hithadhoo,MV,-0.6,73.0833,77.5,92,100,25.66,overcast clouds
28,Labuhan,ID,-6.8844,112.2051,78.13,84,100,11.27,light rain
29,Nioro,GM,13.35,-15.75,92.12,43,63,12.39,broken clouds
30,At-Bashi,KG,41.1702,75.8106,61.83,40,2,0.43,clear sky
31,Onega,RU,63.9061,38.1404,61.41,71,100,3.74,overcast clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,88,75,3.44,broken clouds
33,Hobart,AU,-42.8794,147.3294,39.06,80,40,13.8,scattered clouds
34,Qaanaaq,GL,77.484,-69.3632,46.29,58,70,2.93,broken clouds
35,Korla,CN,41.7597,86.1469,80.35,27,49,5.26,scattered clouds
36,Rikitea,PF,-23.1203,-134.9692,73.96,78,100,16.46,overcast clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,54,0,10.36,clear sky
38,Chuy,UY,-33.6971,-53.4616,51.76,62,0,13.85,clear sky
39,Codrington,AU,-38.2667,141.9667,48.45,68,95,18.9,overcast clouds
40,Hermanus,ZA,-34.4187,19.2345,61.81,79,0,12.55,clear sky
41,Boa Vista,BR,2.8197,-60.6733,91.38,52,75,10.36,broken clouds
42,Souillac,MU,-20.5167,57.5167,70.21,67,53,22.41,light rain
43,Kapaa,US,22.0752,-159.319,79.12,80,100,13.8,overcast clouds
44,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,72,8.99,broken clouds
45,Port Shepstone,ZA,-30.7414,30.455,67.3,80,0,19.06,clear sky
46,Rawson,AR,-43.3002,-65.1023,49.86,46,83,20.96,broken clouds
47,Castro,BR,-24.7911,-50.0119,69.71,60,100,3.4,light rain
48,Asau,RO,46.4333,26.4,69.28,43,36,9.53,scattered clouds
49,Sungurlu,TR,40.1675,34.3739,73.08,56,45,13.31,scattered clouds
50,Narsaq,GL,60.9167,-46.05,59.22,65,7,9.04,clear sky
51,Lebu,CL,-37.6167,-73.65,50.13,86,100,9.53,overcast clouds
52,Georgetown,MY,5.4112,100.3354,84.13,84,20,0.0,few clouds
53,Riviere-Au-Renard,CA,48.9957,-64.3971,66.49,58,40,10.67,scattered clouds
54,Jamestown,US,42.097,-79.2353,80.02,70,100,7.0,overcast clouds
55,Kahului,US,20.8947,-156.47,80.62,68,20,8.01,few clouds
56,Ruteng,ID,-8.6136,120.4721,59.83,95,72,0.43,broken clouds
57,Hasaki,JP,35.7333,140.8333,77.29,92,45,10.45,light rain
58,Pevek,RU,69.7008,170.3133,30.6,96,100,33.89,snow
59,Yerofey Pavlovich,RU,53.9667,121.9667,62.28,93,42,3.74,scattered clouds
60,Albany,US,42.6001,-73.9662,89.62,48,32,1.01,scattered clouds
61,Victor Harbor,AU,-35.5667,138.6167,46.99,88,76,9.22,broken clouds
62,Poronaysk,RU,49.2167,143.1167,54.14,98,100,13.11,overcast clouds
63,Gat,IL,31.61,34.7642,81.81,100,0,8.41,clear sky
64,Camana,PE,-16.6228,-72.7111,63.7,72,48,11.27,scattered clouds
65,Keuruu,FI,62.2667,24.7,55.8,86,85,6.33,light rain
66,Churapcha,RU,62.0025,132.4325,69.17,71,42,3.89,scattered clouds
67,Provideniya,RU,64.3833,-173.3,50.52,97,100,5.23,overcast clouds
68,Iqaluit,CA,63.7506,-68.5145,47.7,93,100,3.0,overcast clouds
69,Morondava,MG,-20.2833,44.2833,74.86,66,24,11.48,few clouds
70,Karratha,AU,-20.7377,116.8463,66.24,64,1,6.15,clear sky
71,Sao Filipe,CV,14.8961,-24.4956,76.24,79,25,15.86,scattered clouds
72,Port Alfred,ZA,-33.5906,26.891,67.17,48,3,10.89,clear sky
73,Tasiilaq,GL,65.6145,-37.6368,50.16,78,91,5.99,overcast clouds
74,Novaya Igirma,RU,57.1334,103.9112,51.98,94,1,1.28,clear sky
75,Half Moon Bay,US,37.4636,-122.4286,79.88,73,75,13.8,mist
76,New Norfolk,AU,-42.7826,147.0587,38.7,78,91,5.99,overcast clouds
77,Vicente Guerrero,MX,19.1194,-98.1708,67.39,41,100,2.62,overcast clouds
78,Sola,VU,-13.8833,167.55,80.69,76,88,24.65,overcast clouds
79,Ornskoldsvik,SE,63.2909,18.7153,59.95,63,100,10.36,overcast clouds
80,Bongaree,AU,-27.0797,153.1586,60.4,67,94,8.93,overcast clouds
81,Ilave,PE,-16.0833,-69.6667,55.24,35,42,8.75,scattered clouds
82,Coihaique,CL,-45.5752,-72.0662,42.75,61,75,4.61,broken clouds
83,Gold Coast,AU,-28.0,153.4333,61.0,91,100,5.75,overcast clouds
84,Oksfjord,NO,70.2396,22.3479,54.0,88,100,4.65,overcast clouds
85,Coracora,PE,-15.0333,-73.7833,63.1,29,7,7.47,clear sky
86,Saldanha,ZA,-33.0117,17.9442,57.83,93,0,7.2,clear sky
87,Vilyuysk,RU,63.7553,121.6247,61.43,98,74,4.32,broken clouds
88,Bambous Virieux,MU,-20.3428,57.7575,69.22,65,55,23.26,broken clouds
89,Norman Wells,CA,65.282,-126.8329,65.7,69,93,2.33,overcast clouds
90,Barrow,US,71.2906,-156.7887,35.62,93,100,18.41,overcast clouds
